source_report,event_date,stock_id,stock_name,period_start,source_row_number,raw_path,raw_sha256_matches,normalized_fields_match,mismatched_fields,raw_row_sha256,raw_official_row_json
TWT49U,2011-12-16,0081,恒香港,2011-12-01,4,data/raw/twse/corporate_actions/ex_right_dividend/2011/TWT49U_201112.json.gz,True,True,,9F22365A150A1F4B64CF0C976C358A5B03D3702881CB08A9B377427732293C66,"{""最近一次申報每股 (單位)淨值"":"""",""最近一次申報每股 (單位)盈餘"":"""",""最近一次申報資料 季別/日期"":"""",""權/息"":""息"",""權值+息值"":""8.001000"",""減除股利參考價"":""691.99"",""漲停價格"":""9,999.95"",""股票代號"":""0081"",""股票名稱"":""恒香港"",""詳細資料"":""0081,20111216"",""資料日期"":""100年12月16日"",""跌停價格"":""0.01"",""開盤競價基準"":""692.00"",""除權息前收盤價"":""700.00"",""除權息參考價"":""691.99""}"
TWT49U,2012-01-09,2610,華航,2012-01-01,1,data/raw/twse/corporate_actions/ex_right_dividend/2012/TWT49U_201201.json.gz,True,True,,2504360DF5E6206603716460BA1C470D4818CB3EA5AD9CE09D1303F3B05BA341,"{""最近一次申報每股 (單位)淨值"":""16.29"",""最近一次申報每股 (單位)盈餘"":""1.08"",""最近一次申報資料 季別/日期"":""115年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權"",""權值+息值"":""0.177072"",""減除股利參考價"":""13.35"",""漲停價格"":""14.25"",""股票代號"":""2610"",""股票名稱"":""華航"",""詳細資料"":""2610,20120109"",""資料日期"":""101年01月09日"",""跌停價格"":""12.25"",""開盤競價基準"":""13.35"",""除權息前收盤價"":""13.35"",""除權息參考價"":""13.17""}"
TWT49U,2012-07-25,9937,全國,2012-07-01,263,data/raw/twse/corporate_actions/ex_right_dividend/2012/TWT49U_201207.json.gz,True,True,,40FF3E546A96C40CEF86F7CF6EB7E992EA0517270C0B7D3E5B72344E54F541F5,"{""最近一次申報每股 (單位)淨值"":""17.93"",""最近一次申報每股 (單位)盈餘"":""1.30"",""最近一次申報資料 季別/日期"":""115年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""息"",""權值+息值"":""3.000000"",""減除股利參考價"":""30.00"",""漲停價格"":""32.10"",""股票代號"":""9937"",""股票名稱"":""全國"",""詳細資料"":""9937,20120725"",""資料日期"":""101年07月25日"",""跌停價格"":""27.90"",""開盤競價基準"":""30.00"",""除權息前收盤價"":""33.00"",""除權息參考價"":""30.00""}"
TWT49U,2012-12-27,8011,台通,2012-12-01,8,data/raw/twse/corporate_actions/ex_right_dividend/2012/TWT49U_201212.json.gz,True,True,,7EFBBCBFC299600159A8C7D381BAA8E8C7B26BEE3FE8813D4EFDCD83BCF25C67,"{""最近一次申報每股 (單位)淨值"":""19.13"",""最近一次申報每股 (單位)盈餘"":""0.00"",""最近一次申報資料 季別/日期"":""115年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權"",""權值+息值"":""0.651404"",""減除股利參考價"":""38.15"",""漲停價格"":""40.80"",""股票代號"":""8011"",""股票名稱"":""台通"",""詳細資料"":""8011,20121227"",""資料日期"":""101年12月27日"",""跌停價格"":""34.90"",""開盤競價基準"":""38.15"",""除權息前收盤價"":""38.15"",""除權息參考價"":""37.49""}"
TWT49U,2013-01-04,5906,台南-KY,2013-01-01,1,data/raw/twse/corporate_actions/ex_right_dividend/2013/TWT49U_201301.json.gz,True,True,,B13ACB5D39DCCCD568010D92155147156217C64C1F093B568623DFC429FF3AEA,"{""最近一次申報每股 (單位)淨值"":""16.31"",""最近一次申報每股 (單位)盈餘"":""0.11"",""最近一次申報資料 季別/日期"":""115年第1季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權"",""權值+息值"":""0.140154"",""減除股利參考價"":""12.45"",""漲停價格"":""13.30"",""股票代號"":""5906"",""股票名稱"":""台南-KY"",""詳細資料"":""5906,20130104"",""資料日期"":""102年01月04日"",""跌停價格"":""11.45"",""開盤競價基準"":""12.45"",""除權息前收盤價"":""12.45"",""除權息參考價"":""12.30""}"
TWT49U,2013-07-25,2347,聯強,2013-07-01,277,data/raw/twse/corporate_actions/ex_right_dividend/2013/TWT49U_201307.json.gz,True,True,,3FA318BD52554307B24A804DE5BF3F462A9F58B3B1D0F6E03D5093EB73D6CCE1,"{""最近一次申報每股 (單位)淨值"":""51.90"",""最近一次申報每股 (單位)盈餘"":""4.12"",""最近一次申報資料 季別/日期"":""115年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""息"",""權值+息值"":""2.000000"",""減除股利參考價"":""39.55"",""漲停價格"":""42.30"",""股票代號"":""2347"",""股票名稱"":""聯強"",""詳細資料"":""2347,20130725"",""資料日期"":""102年07月25日"",""跌停價格"":""36.80"",""開盤競價基準"":""39.55"",""除權息前收盤價"":""41.55"",""除權息參考價"":""39.55""}"
TWT49U,2013-12-19,1715,萬洲,2013-12-01,8,data/raw/twse/corporate_actions/ex_right_dividend/2013/TWT49U_201312.json.gz,True,True,,21A1024BDECC026AF8929B4F04B3DA585459F40D8EA741DC87B9416115E6F95E,"{""最近一次申報每股 (單位)淨值"":""14.07"",""最近一次申報每股 (單位)盈餘"":""0.06"",""最近一次申報資料 季別/日期"":""106年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權"",""權值+息值"":""0.168408"",""減除股利參考價"":""17.50"",""漲停價格"":""18.70"",""股票代號"":""1715"",""股票名稱"":""萬洲"",""詳細資料"":""1715,20131219"",""資料日期"":""102年12月19日"",""跌停價格"":""16.15"",""開盤競價基準"":""17.50"",""除權息前收盤價"":""17.50"",""除權息參考價"":""17.33""}"
TWT49U,2014-01-16,911619,耀傑-DR,2014-01-01,1,data/raw/twse/corporate_actions/ex_right_dividend/2014/TWT49U_201401.json.gz,True,True,,4F4B29F1F011282D8AE0B5F6113F226EB31BC6D492F2E491297E3D316E8B0B4E,"{""最近一次申報每股 (單位)淨值"":"""",""最近一次申報每股 (單位)盈餘"":"""",""最近一次申報資料 季別/日期"":"""",""權/息"":""息"",""權值+息值"":""0.235700"",""減除股利參考價"":""4.46"",""漲停價格"":""4.77"",""股票代號"":""911619"",""股票名稱"":""耀傑-DR"",""詳細資料"":""911619,20140116"",""資料日期"":""103年01月16日"",""跌停價格"":""4.15"",""開盤競價基準"":""4.46"",""除權息前收盤價"":""4.70"",""除權息參考價"":""4.46""}"
TWT49U,2014-07-25,6209,今國光,2014-07-01,289,data/raw/twse/corporate_actions/ex_right_dividend/2014/TWT49U_201407.json.gz,True,True,,F8C27DE4A4761D78902D087DE4E2C1C7BB4A314155DA132881CFA8CC9A6A9AAF,"{""最近一次申報每股 (單位)淨值"":""19.57"",""最近一次申報每股 (單位)盈餘"":""0.81"",""最近一次申報資料 季別/日期"":""115年第1季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""息"",""權值+息值"":""0.600000"",""減除股利參考價"":""28.65"",""漲停價格"":""30.65"",""股票代號"":""6209"",""股票名稱"":""今國光"",""詳細資料"":""6209,20140725"",""資料日期"":""103年07月25日"",""跌停價格"":""26.65"",""開盤競價基準"":""28.65"",""除權息前收盤價"":""29.25"",""除權息參考價"":""28.65""}"
TWT49U,2014-12-26,3596,智易,2014-12-01,6,data/raw/twse/corporate_actions/ex_right_dividend/2014/TWT49U_201412.json.gz,True,True,,9C3D57BD87CCB065B624B6D642EC72526017D402DF852E0D1EF3E50199BEF5A2,"{""最近一次申報每股 (單位)淨值"":""74.68"",""最近一次申報每股 (單位)盈餘"":""6.50"",""最近一次申報資料 季別/日期"":""115年第2季(https://mops.twse.com.tw/mops/web/t163sb01)"",""權/息"":""權"",""權值+息值"":""1.169504"",""減除股利參考價"":""43.65"",""漲停價格"":""46.70"",""股票代號"":""3596"",""股票名稱"":""智易"",""詳細資料"":""3596,20141226"",""資料日期"":""103年12月26日"",""跌停價格"":""39.55"",""開盤競價基準"":""43.65"",""除權息前收盤價"":""43.65"",""除權息參考價"":""42.48""}"
