source_report,stock_id,stock_name,event_date,event_kind,pre_event_close,reference_price,opening_reference_price,ex_right_reference_price,rights_value,cash_value,combined_value,upper_limit,lower_limit,reduction_reason,detail_key,adjustment_factor,raw_path,raw_sha256,mops_match_status,mops_candidate_count,mops_match_method,mops_distribution_year_roc,mops_cash_per_old_share,mops_stock_dividend_value_per_old_share,mops_free_share_multiplier,mops_reference_error,subscription_match_status,subscription_pair_candidates,official_subscription_rate,official_subscription_price,official_shareholder_allocation_fraction,official_paid_dilution_rate,subscription_reference_error,subscription_rate_announcement_date,subscription_price_announcement_date,subscription_record_date,subscription_payment_start,subscription_payment_end,capital_increase_effective_date,new_share_delivery_date,subscription_settlement_match_status,ledger_status,ledger_block_reason,cash_per_old_share,share_multiplier,capital_contribution_per_old_share,economic_value_continuity_error,ledger_terms_source,total_return_eligible,share_semantics,trade_date,previous_trade_date,previous_close,open,close,change_pct,calendar_gap_days,open_gap,close_return,implied_official_reference_price,reference_reset_return,market_return_from_reference,effective_date_lag_days,has_price_on_effective_date,official_pre_close_matches
TWT49U,2459,敦吉,2006-08-31,ex_right_dividend,48.3,43.88,43.9,43.88,2.32,2.105947,4.425947,46.95,40.85,,"2459,20060831",0.908488612836439,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200608.json.gz,2BBEF63733468F06DB7876E01864B1E95294402E4ABFA7AE950D669EE8055B4A,matched_unique,1,declared_cash_and_decision_year,95.0,2.10594,0.44077,1.044077,0.36392070699766776,not_applicable,0,,,,,,,,,,,,,not_applicable,executable,,2.10594,1.044077,0.0,0.3799612400000001,mops_t05st09sub_declared_dividend_terms,True,actual_shares,2006-08-31,2006-08-30,48.3,44.9,43.9,0.0,1.0,-0.07039337474120078,-0.09109730848861286,43.9,-0.09109730848861286,0.0,0.0,True,True
TWT49U,2473,思源,2006-08-31,ex_right_dividend,48.1,42.09,42.1,42.09,2.85,3.1692,6.0192,45.0,39.15,,"2473,20060831",0.8750519750519751,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200608.json.gz,2BBEF63733468F06DB7876E01864B1E95294402E4ABFA7AE950D669EE8055B4A,stock_not_found,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,blocked,official_free_share_terms_missing,,,,,,False,actual_shares,2006-08-31,2006-08-30,48.1,43.0,42.2,0.0,1.0,-0.10602910602910609,-0.12266112266112261,42.2,-0.12266112266112261,0.0,0.0,True,True
TWT49U,6216,居易,2006-08-31,ex_right_dividend,20.25,18.31,18.3,18.31,0.91,1.032753,1.942753,19.55,17.05,,"6216,20060831",0.9041975308641975,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200608.json.gz,2BBEF63733468F06DB7876E01864B1E95294402E4ABFA7AE950D669EE8055B4A,declared_terms_no_match,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,blocked,official_free_share_terms_missing,,,,,,False,actual_shares,2006-08-31,2006-08-30,20.25,18.7,18.2,0.0,1.0,-0.07654320987654328,-0.10123456790123464,18.2,-0.10123456790123464,0.0,0.0,True,True
TWT49U,6605,帝寶,2006-08-31,ex_right_dividend,106.0,95.23,95.2,95.23,4.78,5.999503,10.779503,101.5,88.6,,"6605,20060831",0.8983962264150944,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200608.json.gz,2BBEF63733468F06DB7876E01864B1E95294402E4ABFA7AE950D669EE8055B4A,matched_unique,1,reference_equation,95.0,5.9995,0.5,1.05,0.008571428571428896,not_applicable,0,,,,,,,,,,,,,not_applicable,executable,,5.9995,1.05,0.0,0.009000000000000341,mops_t05st09sub_declared_dividend_terms,True,actual_shares,2006-08-31,2006-08-30,106.0,94.9,94.0,0.0,1.0,-0.10471698113207539,-0.1132075471698113,94.0,-0.1132075471698113,0.0,0.0,True,True
TWT49U,2495,普安,2006-09-01,ex_right_dividend,48.2,39.8,39.8,39.8,4.38,4.029668,8.409668,42.55,37.05,,"2495,20060901",0.825726141078838,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200609.json.gz,8D9BB5320A3674617F1CF185C8847A3D7D979D9197F0BBA37A4D15B052B3787D,declared_terms_no_match,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,blocked,official_free_share_terms_missing,,,,,,False,actual_shares,2006-09-01,2006-08-31,48.2,40.5,40.5,0.0,1.0,-0.15975103734439844,-0.15975103734439844,40.5,-0.15975103734439844,0.0,0.0,True,True
TWT49U,2104,國際中橡,2006-09-04,ex_dividend,21.05,20.0,20.0,20.0,0.0,1.049891,1.049891,21.4,18.6,,"2104,20060904",0.9501187648456056,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200609.json.gz,8D9BB5320A3674617F1CF185C8847A3D7D979D9197F0BBA37A4D15B052B3787D,not_applicable,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,executable,,1.049891,1.0,0.0,0.00010900000000191312,twse_twt49u_declared_cash,True,actual_shares,2006-09-04,2006-09-01,21.05,20.45,20.4,0.0,3.0,-0.028503562945368266,-0.030878859857482288,20.4,-0.030878859857482288,0.0,0.0,True,True
TWT49U,2363,矽統,2006-09-04,ex_right_dividend,15.0,14.22,14.2,14.22,0.67,0.112554,0.782554,15.2,13.25,,"2363,20060904",0.9480000000000001,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200609.json.gz,8D9BB5320A3674617F1CF185C8847A3D7D979D9197F0BBA37A4D15B052B3787D,matched_unique,1,declared_cash_and_decision_year,95.0,0.11,0.45021,1.045021,0.02851749390682201,not_applicable,0,,,,,,,,,,,,,not_applicable,executable,,0.11,1.045021,0.0,0.02980138000000032,mops_t05st09sub_declared_dividend_terms,True,actual_shares,2006-09-04,2006-09-01,15.0,14.6,15.2,0.0,3.0,-0.026666666666666727,0.013333333333333197,15.2,0.013333333333333197,0.0,0.0,True,True
TWT49U,2483,百容,2006-09-04,ex_dividend,18.75,17.95,17.95,17.95,0.0,0.8,0.8,19.2,16.7,,"2483,20060904",0.9573333333333333,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200609.json.gz,8D9BB5320A3674617F1CF185C8847A3D7D979D9197F0BBA37A4D15B052B3787D,not_applicable,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,executable,,0.8,1.0,0.0,0.0,twse_twt49u_declared_cash,True,actual_shares,2006-09-04,2006-09-01,18.75,18.05,17.8,0.0,3.0,-0.03733333333333333,-0.05066666666666664,17.8,-0.05066666666666664,0.0,0.0,True,True
TWT49U,6165,浪凡,2006-09-04,ex_right,15.5,15.13,15.15,15.13,0.37,0.0,0.37,16.15,14.1,,"6165,20060904",0.9761290322580646,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200609.json.gz,8D9BB5320A3674617F1CF185C8847A3D7D979D9197F0BBA37A4D15B052B3787D,matched_unique,1,unique_stock_terms_in_decision_year,95.0,0.0,0.2,1.02,0.06607843137254754,not_applicable,0,,,,,,,,,,,,,not_applicable,executable,,0.0,1.02,0.0,0.06739999999999924,mops_t05st09sub_declared_dividend_terms,True,actual_shares,2006-09-04,2006-09-01,15.5,14.9,15.3,0.0,3.0,-0.03870967741935483,-0.012903225806451535,15.3,-0.012903225806451535,0.0,0.0,True,True
TWT49U,1324,地球,2006-09-05,ex_right_dividend,7.29,6.88,6.88,6.88,0.21,0.2,0.41,7.36,6.4,,"1324,20060905",0.943758573388203,data/raw/twse/corporate_actions/ex_right_dividend/2006/TWT49U_200609.json.gz,8D9BB5320A3674617F1CF185C8847A3D7D979D9197F0BBA37A4D15B052B3787D,matched_unique,1,reference_equation,95.0,0.2,0.3,1.03,0.0034951456310681195,not_applicable,0,,,,,,,,,,,,,not_applicable,executable,,0.2,1.03,0.0,0.0035999999999996035,mops_t05st09sub_declared_dividend_terms,True,actual_shares,2006-09-05,2006-09-04,7.29,6.95,6.87,0.0,1.0,-0.04663923182441698,-0.057613168724279795,6.87,-0.057613168724279795,0.0,0.0,True,True
