stock_id,trade_date,open,close,change_pct,previous_trade_date,previous_close,calendar_gap_days,close_return,open_gap,implied_official_reference_price,reference_reset_return,market_return_from_reference,observation_number,official_event_date,event_kinds,source_reports,official_pre_close,official_reference_price,official_adjustment_factor,event_ledger_eligible,event_ledger_block_reasons,classification,asset_type,listing_date,total_return_eligible,official_pre_close_matches
1472,2011-11-30,9.98,9.98,0.0,2011-11-11,7.3,19.0,0.3671232876712329,0.3671232876712329,9.98,0.3671232876712329,0.0,1696,2011-11-30,capital_reduction,TWTAUU,7.3,10.73,1.4698630136986301,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,2000-09-11,False,True
1475,2005-03-07,22.15,22.15,0.0,2005-01-28,11.4,38.0,0.9429824561403506,0.9429824561403506,22.15,0.9429824561403506,0.0,14,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,2000-10-27,False,
1475,2008-02-29,17.8,17.8,0.0,2008-02-13,11.65,16.0,0.5278969957081545,0.5278969957081545,17.8,0.5278969957081545,0.0,554,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,2000-10-27,False,
1475,2009-09-04,9.36,9.36,0.0,2009-08-18,5.25,17.0,0.7828571428571427,0.7828571428571427,9.36,0.7828571428571427,0.0,791,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,2000-10-27,False,
1475,2011-12-06,9.02,9.04,0.0,2011-11-16,5.82,20.0,0.5532646048109964,0.5498281786941579,9.04,0.5532646048109964,0.0,1331,2011-12-06,capital_reduction,TWTAUU,5.82,9.69,1.6649484536082473,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,2000-10-27,False,True
1506,2010-10-19,25.85,24.7,0.0,2010-09-30,17.1,19.0,0.4444444444444442,0.5116959064327484,24.7,0.4444444444444442,0.0,1418,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1980-08-11,False,
1515,2012-12-07,6.99,6.99,0.0,2012-11-22,5.19,15.0,0.34682080924855496,0.34682080924855496,6.99,0.34682080924855496,0.0,1953,2012-12-07,capital_reduction,TWTAUU,5.19,6.54,1.260115606936416,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,1995-02-04,False,True
1516,2011-09-01,5.53,5.53,0.0,2011-08-19,1.81,13.0,2.0552486187845305,2.0552486187845305,5.53,2.0552486187845305,0.0,1639,2011-09-01,capital_reduction,TWTAUU,1.81,5.17,2.8563535911602207,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,1995-04-01,False,True
1516,2012-09-28,10.65,10.65,0.0,2012-09-12,3.27,16.0,2.2568807339449544,2.2568807339449544,10.65,2.2568807339449544,0.0,1878,2012-09-28,capital_reduction,TWTAUU,3.27,9.96,3.045871559633028,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,1995-04-01,False,True
1516,2014-08-25,17.05,17.0,0.0,2014-08-12,12.8,13.0,0.328125,0.33203125,17.0,0.328125,0.0,2191,2014-08-25,capital_reduction,TWTAUU,12.8,15.95,1.2460937499999998,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,1995-04-01,False,True
